Name,Street Address,City,State,Phone,Full Address,Latitude,Longitude,,,
AdCare Hospital,107 Lincoln Street,Worcester,Massachusetts,(508) 799-9000,"107 Lincoln Street, Worcester, Massachusetts",42.2763579,-71.79491430000002,,,
Amesbury Health Center,24 Morrill Place,Amesbury,Massachusetts,(978) 388-5353,"24 Morrill Place, Amesbury, Massachusetts",42.8484252,-70.933596,,,
"Anna Jaques Hospital, Part of Beth Israel Lahey Health",25 Highland Avenue,Newburyport,Massachusetts,(978) 463-1000,"25 Highland Avenue, Newburyport, Massachusetts",42.8138364,-70.89154119999999,,,
Arbour Hospital,49 Robinwood Avenue,Jamaica Plain,Massachusetts,(617) 522-4400,"49 Robinwood Avenue, Jamaica Plain, Massachusetts",42.31578469999999,-71.112278,,,
Athol Hospital,2033 Main Street,Athol,Massachusetts,(978) 249-3511,"2033 Main Street, Athol, Massachusetts",42.5850878,-72.2086842,,,
Austen Riggs Center,25 Main Street,Stockbridge,Massachusetts,(800) 517-4447,"25 Main Street, Stockbridge, Massachusetts",42.2831142,-73.3132889,,,
Baldpate Hospital,83 Baldpate Road,Georgetown,Massachusetts,(978) 352-2131,"83 Baldpate Road, Georgetown, Massachusetts",42.7051611,-71.01121599999999,,,
BayRidge Hospital,60 Granite Street,Lynn,Massachusetts,(781) 599-9200,"60 Granite Street, Lynn, Massachusetts",42.4715563,-70.9568626,,,`
Baystate Franklin Medical Center,164 High Street,Greenfield,Massachusetts,(413) 773-0211,"164 High Street, Greenfield, Massachusetts",42.5962034,-72.5923856,,,
Baystate Medical Center,759 Chestnut Street,Springfield,Massachusetts,(413) 794-0000,"759 Chestnut Street, Springfield, Massachusetts",42.1229423,-72.6037297,,,
Baystate Noble Hospital,"115 W. Silver St, P.O. Box 1634",Westfield,Massachusetts,(413) 568-2811,"115 W. Silver St, P.O. Box 1634, Westfield, Massachusetts",42.1183618,-72.759812,,,
Baystate Wing Hospital,40 Wright Street,Palmer,Massachusetts,(413) 283-7651,"40 Wright Street, Palmer, Massachusetts",42.16954,-72.34214589999999,,,
Berkshire Medical Center,725 North Street,Pittsfield,Massachusetts,(413) 447-2000,"725 North Street, Pittsfield, Massachusetts",42.4588943,-73.248477,,,
Hillcrest Hospital,165 Tor Court,Pittsfield,Massachusetts,(413) 443-4761,"165 Tor Court, Pittsfield, Massachusetts",42.4581621,-73.28123529999999,,,
"Beth Israel Deaconess Hospital-Milton, Part of Beth Israel Lahey Health",199 Reedsdale Road,Milton,Massachusetts,(617) 696-4600,"199 Reedsdale Road, Milton, Massachusetts",42.2514407,-71.0771688,,,
"Beth Israel Deaconess Hospital-Needham, Part of Beth Israel Lahey Health",148 Chestnut Street,Needham,Massachusetts,(781) 453-3000,"148 Chestnut Street, Needham, Massachusetts",42.2770426,-71.2366552,,,
"Beth Israel Deaconess Hospital-Plymouth, Part of Beth Israel Lahey Health",275 Sandwich Street,Plymouth,Massachusetts,(508) 746-2000,"275 Sandwich Street, Plymouth, Massachusetts",41.9430573,-70.64528709999999,,,
"Beth Israel Deaconess Medical Center, Part of Beth Israel Lahey Health",330 Brookline Avenue,Boston,Massachusetts,(617) 667-8000,"330 Brookline Avenue, Boston, Massachusetts",42.3390281,-71.1062612,,,
"Beverly Hospital, Part of Beth Israel Lahey Health",85 Herrick Street,Beverly,Massachusetts,(978) 922-3000,"85 Herrick Street, Beverly, Massachusetts",42.5640529,-70.8757261,,,
Addison Gilbert Hospital,298 Washington Street,Gloucester,Massachusetts,(978) 283-4000,"298 Washington Street, Gloucester, Massachusetts",42.6252401,-70.68060369999999,,,
Boston Children's Hospital,300 Longwood Avenue,Boston,Massachusetts,(617) 355-6000,"300 Longwood Avenue, Boston, Massachusetts",42.33744799999999,-71.1056343,,,
Boston Medical Center,1 Boston Medical Center Place,Boston,Massachusetts,(617) 638-8000,"1 Boston Medical Center Place, Boston, Massachusetts",42.3355661,-71.0724101,,,
Bournewood Hospital,300 South Street,Chestnut Hill,Massachusetts,(617) 469-0300,"300 South Street, Chestnut Hill, Massachusetts",42.2982749,-71.1493541,,,
Bridgewater State Hospital,20 Administration Road,Bridgewater,Massachusetts,(508) 279-4500,"20 Administration Road, Bridgewater, Massachusetts",41.9433507,-70.95562819999999,,,
Brigham and Women's Faulkner Hospital,1153 Centre Street,Boston,Massachusetts,(617) 983-7000,"1153 Centre Street, Boston, Massachusetts",42.30167,-71.1288836,,,
Brigham and Women's Hospital,75 Francis Street,Boston,Massachusetts,(617) 732-5500,"75 Francis Street, Boston, Massachusetts",42.3362036,-71.1067408,,,
